Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan(ton);Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Aceh;Kab. Aceh Selatan;35.217,68;;;;;;;;;
2022;Aceh;Kab. Aceh Tenggara;33.332,97;41,00;11,00;2,00;18,00;2,00;5,00;17,00;4,00;
2022;Aceh;Kab. Aceh Timur;63.195,95;37,00;14,00;5,00;26,00;5,00;3,00;2,00;4,00;4,00
2022;Aceh;Kab. Aceh Barat;37.021,59;41,80;13,30;10,70;18,20;3,10;2,60;1,80;2,00;6,50
2022;Aceh;Kab. Pidie;64.897,73;8,50;7,50;19,30;35,70;4,00;1,00;3,00;2,00;19,00
2022;Aceh;Kab. Simeulue;16.280,89;5,18;13,05;11,93;35,73;16,88;6,65;5,55;2,03;3,00
2022;Aceh;Kab. Aceh Singkil;19.261,34;30,00;10,00;15,00;22,00;2,00;5,00;3,00;2,00;11,00
2022;Aceh;Kab. Aceh Barat Daya;28.348,09;32,50;11,00;20,00;12,00;11,00;1,50;3,00;4,00;5,00
2022;Aceh;Kab. Gayo Lues;14.986,02;35,00;23,00;5,00;25,00;;;;2,00;10,00
2022;Aceh;Kab. Aceh Jaya;17.231,29;65,00;1,00;11,00;14,00;3,50;1,00;1,00;2,50;1,00
2022;Aceh;Kab. Nagan Raya;25.315,38;38,00;14,00;11,00;20,00;1,00;1,00;2,00;1,00;12,00
2022;Aceh;Kab. Aceh Tamiang;44.062,80;35,00;15,00;15,00;30,00;1,00;1,00;1,00;1,00;1,00
2022;Aceh;Kab. Bener Meriah;24.084,74;21,00;25,00;19,00;18,00;3,00;3,00;3,00;3,00;5,00
2022;Aceh;Kab. Pidie Jaya;29.029,44;19,00;26,30;13,00;26,00;2,50;3,50;3,70;3,50;2,50
2022;Aceh;Kota Banda Aceh;92.055,88;32,40;20,60;3,00;4,80;4,60;6,80;13,20;4,75;9,85
2022;Aceh;Kota Sabang;6.308,37;26,50;16,60;10,50;22,60;6,10;4,30;4,30;3,70;5,40
2022;Aceh;Kota Langsa;34.470,24;19,00;20,00;8,00;12,00;14,00;10,00;7,00;8,00;2,00
2022;Aceh;Kota Subulussalam;13.529,97;28,00;15,00;10,00;18,00;2,00;7,00;8,00;2,00;10,00
2022;Sumatera Utara;Kab. Tapanuli Tengah;67.397,25;54,60;0,01;11,39;13,15;0,37;3,28;0,84;1,59;14,77
2022;Sumatera Utara;Kab. Nias;21.272,35;;;;;;;;;
2022;Sumatera Utara;Kab. Langkat;190.323,78;38,00;30,00;24,00;7,00;0,20;0,20;0,10;;
2022;Sumatera Utara;Kab. Deli Serdang;411.211,01;20,50;24,00;13,80;20,20;6,00;5,00;3,00;2,00;5,50
2022;Sumatera Utara;Kab. Simalungun;186.444,74;5,50;1,93;15,44;20,46;0,37;7,70;4,50;8,60;35,50
2022;Sumatera Utara;Kab. Asahan;172.564,99;;;;;;;;;
2022;Sumatera Utara;Kab. Toba;35.059,00;;;;;;;;;
2022;Sumatera Utara;Kab. Humbang Hasundutan;21.653,73;12,00;55,00;10,00;13,00;3,00;1,00;0,20;0,80;5,00
2022;Sumatera Utara;Kota Medan;628.749,22;;;;;;;;;
2022;Sumatera Utara;Kota Pematang Siantar;88.121,44;45,00;6,00;12,00;10,00;5,00;3,00;4,00;4,00;11,00
2022;Sumatera Utara;Kota Tebing Tinggi;45.488,20;62,70;1,73;11,43;16,65;0,73;2,60;0,71;1,83;1,62
2022;Sumatera Utara;Kota Padangsidimpuan;59.065,98;49,93;7,58;13,56;12,71;0,38;3,29;1,13;2,17;9,25
2022;Sumatera Barat;Kab. Pesisir Selatan;55.803,17;20,40;19,60;23,00;19,00;16,00;0,42;1,58;;
2022;Sumatera Barat;Kab. Solok;57.558,60;29,00;20,00;12,00;22,00;2,00;2,00;2,00;2,00;9,00
2022;Sumatera Barat;Kab. Sijunjung;35.513,89;20,80;38,12;16,48;20,00;3,90;0,40;0,30;;
2022;Sumatera Barat;Kab. Tanah Datar;47.057,29;69,34;;8,63;6,00;2,24;1,57;;3,33;8,89
2022;Sumatera Barat;Kab. Padang Pariaman;79.593,54;31,82;;12,78;43,77;0,21;0,78;2,07;0,54;8,03
2022;Sumatera Barat;Kab. Agam;77.993,64;70,00;4,02;6,00;8,00;2,00;0,28;0,10;0,60;9,00
2022;Sumatera Barat;Kab. Lima Puluh Kota;55.954,79;;;;;;;;;
2022;Sumatera Barat;Kab. Pasaman;44.253,04;66,28;2,10;11,41;11,25;2,93;1,41;1,36;1,86;1,40
2022;Sumatera Barat;Kab. Dharmasraya;37.831,10;;;;;;;;;
2022;Sumatera Barat;Kab. Solok Selatan;26.988,68;34,25;0,78;16,35;25,69;0,13;0,59;0,55;2,41;19,25
2022;Sumatera Barat;Kab. Pasaman Barat;63.876,75;40,00;10,00;15,00;20,00;5,00;;;5,00;5,00
2022;Sumatera Barat;Kota Padang;234.973,13;62,80;6,84;5,70;12,40;0,19;3,30;1,50;2,40;4,87
2022;Sumatera Barat;Kota Solok;19.810,19;45,70;10,02;11,10;23,20;0,84;0,60;0,21;1,10;7,23
2022;Sumatera Barat;Kota Sawahlunto;6.882,56;46,00;10,00;11,00;14,00;3,00;5,00;4,00;5,00;2,00
2022;Sumatera Barat;Kota Padang Panjang;17.865,14;43,15;23,56;14,35;12,67;1,50;0,95;0,80;1,19;1,83
2022;Sumatera Barat;Kota Bukittinggi;45.707,54;61,12;1,14;16,50;18,72;0,46;0,89;;0,50;0,67
2022;Sumatera Barat;Kota Payakumbuh;36.608,81;51,62;7,43;11,42;21,54;0,65;1,56;0,57;0,87;4,34
2022;Sumatera Barat;Kota Pariaman;13.963,44;54,18;10,95;14,56;13,77;1,66;0,91;0,65;1,61;1,71
2022;Riau;Kab. Indragiri Hulu;66.173,19;20,00;10,00;10,00;20,00;5,00;5,00;5,00;5,00;20,00
2022;Riau;Kab. Bengkalis;95.585,50;72,90;3,62;2,89;5,02;0,52;0,96;0,91;1,98;10,66
2022;Riau;Kab. Rokan Hulu;132.613,76;30,50;6,00;8,80;20,20;0,70;3,90;1,20;1,30;27,40
2022;Riau;Kab. Rokan Hilir;121.580,59;14,00;22,00;15,00;32,00;3,00;4,00;2,00;2,00;6,00
