Entity,Year,Annual methane emissions in CO₂ equivalents
World,1850,1239386900
World,1851,1244030200
World,1852,1250666800
World,1853,1258164700
World,1854,1270659800
World,1855,1277120400
World,1856,1285761900
World,1857,1291669100
World,1858,1297388900
World,1859,1306513400
World,1860,1317370100
World,1861,1325713200
World,1862,1332195300
World,1863,1343420300
World,1864,1354009600
World,1865,1363855000
World,1866,1374148500
World,1867,1382167000
World,1868,1389038100
World,1869,1399209000
World,1870,1406263000
World,1871,1419792800
World,1872,1438447900
World,1873,1453673500
World,1874,1458393300
World,1875,1474524800
World,1876,1485275100
World,1877,1496780900
World,1878,1506945300
World,1879,1522465500
World,1880,1544128400
World,1881,1561730800
World,1882,1579699500
World,1883,1599338400
World,1884,1611312900
World,1885,1623159600
World,1886,1636247200
World,1887,1654755800
World,1888,1679907300
World,1889,1692197400
World,1890,1718375200
World,1891,1737405600
World,1892,1750295600
World,1893,1757706400
World,1894,1777346800
World,1895,1800406300
World,1896,1817158100
World,1897,1838631200
World,1898,1861306100
World,1899,1892860700
World,1900,1919402000
World,1901,1940226800
World,1902,1957949000
World,1903,1993016800
World,1904,2008708600
World,1905,2034670100
World,1906,2067375200
World,1907,2118667500
World,1908,2118913900
World,1909,2148463600
World,1910,2176690700
World,1911,2199369000
World,1912,2224474000
World,1913,2267437600
World,1914,2242071000
World,1915,2252585000
World,1916,2295805200
World,1917,2328217600
World,1918,2320640500
World,1919,2289819000
World,1920,2355906000
World,1921,2312700700
World,1922,2362842000
World,1923,2442928600
World,1924,2471367200
World,1925,2494860000
World,1926,2503033900
World,1927,2576802300
World,1928,2593652200
World,1929,2652534800
World,1930,2655087600
World,1931,2640972800
World,1932,2637213700
World,1933,2681463800
World,1934,2747922700
World,1935,2799024000
World,1936,2878627300
World,1937,2942085600
World,1938,2949843000
World,1939,3007819300
World,1940,3074402600
World,1941,3127075800
World,1942,3163745300
World,1943,3227769300
World,1944,3276125700
World,1945,3245880300
World,1946,3346942500
World,1947,3463900700
World,1948,3521163500
World,1949,3570402300
World,1950,3665153000
World,1951,3790646800
World,1952,3878796800
World,1953,3979332600
World,1954,4090415400
World,1955,4294317000
World,1956,4437710300
World,1957,4578927600
World,1958,4685570600
World,1959,4902796300
World,1960,5043982300
World,1961,5101735000
World,1962,5190936600
World,1963,5329454000
World,1964,5446480400
World,1965,5604722700
World,1966,5825420300
World,1967,5908237000
World,1968,6017705000
World,1969,6193099000
World,1970,6336593000
World,1971,6360429600
World,1972,6496597000
World,1973,6663778000
World,1974,6700008400
World,1975,6801613000
World,1976,6904513500
World,1977,7002551300
World,1978,7046670300
World,1979,7230949400
World,1980,7204004000
World,1981,7041882000
World,1982,7131508700
World,1983,7149501400
World,1984,7254892500
World,1985,7374247400
World,1986,7472451000
World,1987,7557709000
World,1988,7693762000
World,1989,7873883000
World,1990,7975281700
World,1991,7942876700
World,1992,7943864300
World,1993,7964157000
World,1994,8037661700
World,1995,8159892500
World,1996,8245955600
World,1997,8250237000
World,1998,8195431000
World,1999,8241517000
World,2000,8400780000
World,2001,8412930000
World,2002,8406540000
World,2003,8638837000
World,2004,8825259000
World,2005,8985477000
World,2006,9149911000
World,2007,9225315000
World,2008,9334678000
World,2009,9286862000
World,2010,9454867000
World,2011,9689584000
World,2012,9812516000
World,2013,9800974000
World,2014,9893349000
World,2015,9941571000
World,2016,9974606000
World,2017,10129011000
World,2018,10215161000
World,2019,10321243000
World,2020,10372986000
World,2021,10506912000
